R-Number,R-Location,H-Number,H-Name,B-Price,Price,RTD Price,Rev RTD Pr,V4 RTD Pr,RSBF %,Rev RTG,T4,T5,T2,AvS3,BF Top5,Price Rnk,RS-NP Rnk,BF-P Rnk,P% Rnk,RSBF Rnk,TTL Rnk,Rev Rnk,V4 Rnk,DLR,NOR,P%,JH%,JR,L4R,TOL3R,R-Spd,RU&P,H-SpCat,H-ESpd,H-LSpd,A-S,Wgt,WC,DC,Barr,Rider,Trainer,RS-NP,BF-P,RSBF Price,Class,Class Chk,Price Rank,RSBF PRnk,Barr Rank,DTW,TOL3R Form,RD Pr/Barr,V4 Class,Pr/Barr,Wgt_1,Class_2,DTW-Cal,TOTAL,RATING,WW%,PRICE.1,V4 TOTAL,V4 RTG,V4 WW%,PRICE_3,Rev TOTAL,Rev RTG_4,Rev WW%,PRICE_5,
R1,GRAFTON,2,SELLINYA,,$4.50,$9.25,,$3.20,25.67%,0,5,3,8,2,2,3,1,4,3,1,5,3,3,19,13,23,0,3.7,4252,9,Average,9U-OP,Backmarker,0.11,2,5-M,56,1.5,10,2,MATTHEW MCGUREN,M OSTINI,2.4,5.39,3.895,3.5,3.5,3,3,0,0,7.5,2,2,2,-0.25,-5,-5.5,3.75,3.75,11%,$9.25,11.25,11.25,31%,$3.20,-1.25,0,0%,"$1,000.00",
R1,GRAFTON,3,BRIGHT THE SUN,$13.33,$3.00,$5.57,$3.49,$2.82,15.35%,1.25,1,1,3,1,3,1,5,1,1,5,2,2,1,21,2,50,50,3.4,37,10,Average,3U-BK,Backmarker,0.17,5,3-F,55.5,0,300,3,N TOMAZAWA,D CHUJO,9,4.03,6.515,5.5,5.5,6,6,0,0,6.5,5,1,5,0.25,-5,-5.5,6.25,6.25,18%,$5.57,12.75,12.75,35%,$2.82,1.25,1.25,29%,$3.49,
R1,GRAFTON,4,EMPRESS OF MILAN,$4.00,$10.00,$5.16,,$6.82,15.85%,0,4,5,6,3,5,5,3,5,6,3,1,5,5,17,18,17,50,3.6,5927,18,Average,5U-OP,Midfield,0.42,4,4-M,55.5,0.5,260,5,MS SIENA GRIMA,S MORTON,6,6.62,6.31,1.5,1.5,2,2,0,0,-1.5,1,5.5,1,0.25,0,-5.5,6.75,6.75,19%,$5.16,5.25,5.25,15%,$6.82,-5.75,0,0%,"$1,000.00",
R1,GRAFTON,6,JUST A HERO,,$21.00,$15.32,,,5.18%,,6,6,12,5.25,4,6,6,6,3,6,6,,6,20,13,23,0,3.4,x783,18,Average,4U-OP,Midfield,0.50,2,4-M,55.5,-1.5,160,4,NORIYUKI MASUDA,D DWANE,13,25.6,19.3,4,4,1,1,0,0,-1.5,0,2,0,0.25,-5,-5.5,2.25,2.25,6%,$15.32,0.75,0.75,2%,$45.89,,,,,
R1,GRAFTON,7,MAGIC SORCERER,$11.43,$3.50,$5.57,,$4.63,21.72%,0,2,3,4,2,1,2,2,2,3,2,2,4,4,15,13,23,0,2.7,3366,15,Average,6U-L,On-Pace,0.83,4,4-G,55.5,-1.5,310,1,K MATHESON,J SHELTON,3.9,5.31,4.605,3.5,3.5,5,5,0,0,1.5,4,2,4,0.25,-5,-5.5,6.25,6.25,18%,$5.57,7.75,7.75,21%,$4.63,-4.75,0,0%,"$1,000.00",
R1,GRAFTON,8,MOON TREATY,$8.89,$4.50,$5.57,$1.94,$2.82,15.59%,2.25,3,2,5,1.5,0,3,4,3,2,4,2,1,1,15,15,33,100,3.3,8353,11,Average,11U-OP,Backmarker,0.06,3,4-G,55.5,-1.5,310,4,L P ROLLS,P ISAAC,7.5,5.33,6.415,2.5,2.5,3,4,0,0,5.5,3,4,2,0.25,0,-5.5,6.25,6.25,18%,$5.57,12.75,12.75,35%,$2.82,2.25,2.25,51%,$1.94,
R2,GRAFTON,1,ZAYNUDIN,$6.67,$6.00,$6.47,$4.09,$2.31,16.00%,5.25,3,3,6,2,2,3,3,3,1,3,3,3,1,21,19,68,100,2.9,x231,6,Average,4U-M,Off Midfield,0.33,3,6-G,60.5,-2,-300,3,NORIYUKI MASUDA,D CHUJO,5,7.5,6.25,0.5,0.5,4,4,0,0,10.5,3,6.5,3,-2.75,0,-5.5,6.75,6.75,15%,$6.47,17.25,17.25,43%,$2.31,5.25,5.25,24%,$4.09,
R2,GRAFTON,2,THE IRISH,$23.53,$1.70,$4.15,$3.74,$2.83,41.67%,5.75,1,1,3,1,1,1,1,1,2,1,2,2,3,20,10,50,0,3.1,x544,13,Average,4U-OP,Backmarker,0.06,5,4-G,60,1,-48,1,MATTHEW MCGUREN,D L FREEDMAN,2.7,2.1,2.4,-1.5,-1.5,6,6,0,0,3.5,5,7.8,5,-2.25,5,-5.5,10.55,10.55,24%,$4.15,14.05,14.05,35%,$2.83,5.75,5.75,27%,$3.74,
R2,GRAFTON,4,GIDDY GANS JOY,$11.43,$3.50,$3.73,$3.44,$2.61,26.35%,6.25,1,2,3,1.5,3,2,2,2,3,2,1,1,2,12,22,36,50,2.9,2120,13,Average,5U-M,Backmarker,0.17,4,5-M,56.5,0,320,2,M CAHILL,SIMON-ROBERT FOSTER,4.2,3.39,3.795,0.5,0.5,5,5,0,3,3.5,4,6.5,4,1.25,0,-2.5,11.75,11.75,27%,$3.73,15.25,15.25,38%,$2.61,6.25,6.25,29%,$3.44,
R2,GRAFTON,6,EASTOWIN,,$19.00,,,,5.61%,,5,5,11,4.75,4,5,4,5,5,5,6,,6,15,33,21,0,1.9,1856,19,Average,10U-P,Midfield,0.50,2,6-G,55,1.5,470,1,P GRAHAM,D CAMPBELL,7.5,28.15,17.825,11,11,2,2,0,3,-2.5,1,-8,1,2.75,-5,-2.5,-4.25,0,0%,"$1,000.00",-6.75,0,0%,"$1,000.00",,,,,
