R-Number,R-Location,H-Number,H-Name,Price,JOCKEY,TRAINER,BP,Wgt,WTC,DOD,DLR,PR,W,P,NOR,A-S,RTC-P,DC,FORM L5,CRS-W,CRS-P,CRS-R,DIS-W,DIS-P,DIS-R,AES,AFS,JH,JR,Column25,FORM L5-1,TOL3R,BF-P,BFT5,R-Type,DTW,R-Time,H-SpCat,H-Espd,H-LSpd,R-Spd
R1,GRAFTON,2,SELLINYA,4.5,MATTHEW MCGUREN,M OSTINI,2,56,1.5,3.5,19,2.4,0,23,13,5-M,9U-OP,10,34252,0,1,1,0,1,1,16,16,0,3.7,,34252,9,5.39,2,"Vilified At Stud MAIDEN HANDICAP 1710m, MDN $27,000",0,12:40:00,Backmarker,0.111083333,2,Average
R1,GRAFTON,3,BRIGHT THE SUN,3,N TOMAZAWA,D CHUJO,3,55.5,0,5.5,21,9,0,50,2,3-F,3U-BK,300,37,0,0,0,0,0,0,,,50,3.4,,37,10,4.03,3,"Vilified At Stud MAIDEN HANDICAP 1710m, MDN $27,000",0,12:40:00,Backmarker,0.166666667,5,Average
R1,GRAFTON,4,EMPRESS OF MILAN,10,MS SIENA GRIMA,S MORTON,5,55.5,0.5,1.5,17,6,0,17,18,4-M,5U-OP,260,x5927,0,1,5,0,1,4,16.1,16.7,50,3.6,,5927,18,6.62,5,"Vilified At Stud MAIDEN HANDICAP 1710m, MDN $27,000",0,12:40:00,Midfield,0.416666667,4,Average
R1,GRAFTON,6,JUST A HERO,21,NORIYUKI MASUDA,D DWANE,4,55.5,-1.5,4,20,13,0,23,13,4-M,4U-OP,160,9x783,0,0,0,0,0,0,15,17,0,3.4,,9783,18,25.6,4,"Vilified At Stud MAIDEN HANDICAP 1710m, MDN $27,000",0,12:40:00,Midfield,0.5,2,Average
R1,GRAFTON,7,MAGIC SORCERER,3.5,K MATHESON,J SHELTON,1,55.5,-1.5,3.5,15,3.9,0,23,13,4-G,6U-L,310,43366,0,0,0,0,0,0,15,16,0,2.7,,43366,15,5.31,1,"Vilified At Stud MAIDEN HANDICAP 1710m, MDN $27,000",0,12:40:00,On-Pace,0.833333333,4,Average
R1,GRAFTON,8,MOON TREATY,4.5,L P ROLLS,P ISAAC,4,55.5,-1.5,2.5,15,7.5,0,33,15,4-G,11U-OP,310,78353,0,0,0,0,0,0,,,100,3.3,,78353,11,5.33,,"Vilified At Stud MAIDEN HANDICAP 1710m, MDN $27,000",0,12:40:00,Backmarker,0.055583333,3,Average
R2,GRAFTON,1,ZAYNUDIN,6,NORIYUKI MASUDA,D CHUJO,3,60.5,-2,0.5,21,5,11,68,19,6-G,4U-M,-300,7x231,0,1,1,0,4,4,15.1,16.9,100,2.9,,7231,6,7.5,2,"graftontickets.com.au BENCHMARK 66 HANDICAP 2370m, BM66 $27,000",0,13:15:00,Off Midfield,0.333333333,3,Average
R2,GRAFTON,2,THE IRISH,1.7,MATTHEW MCGUREN,D L FREEDMAN,1,60,1,-1.5,20,2.7,20,50,10,4-G,4U-OP,-48,0x544,0,0,0,0,0,1,15.7,16.9,0,3.1,,544,13,2.1,1,"graftontickets.com.au BENCHMARK 66 HANDICAP 2370m, BM66 $27,000",0,13:15:00,Backmarker,0.055583333,5,Average
R2,GRAFTON,4,GIDDY GANS JOY,3.5,M CAHILL,SIMON-ROBERT FOSTER,2,56.5,0,0.5,12,4.2,14,36,22,5-M,5U-M,320,x2120,1,1,2,0,1,2,15.3,17,50,2.9,,2120,13,3.39,3,"graftontickets.com.au BENCHMARK 66 HANDICAP 2370m, BM66 $27,000",3,13:15:00,Backmarker,0.166666667,4,Average
R2,GRAFTON,6,EASTOWIN,19,P GRAHAM,D CAMPBELL,1,55,1.5,11,15,7.5,6,21,33,6-G,10U-P,470,71856,1,3,15,0,0,1,15.9,17,0,1.9,,71856,19,28.15,4,"graftontickets.com.au BENCHMARK 66 HANDICAP 2370m, BM66 $27,000",3,13:15:00,Midfield,0.5,2,Average
R2,GRAFTON,9,ITALIAN TUNE,13,COURTNEY BELLAMY,P EVANS,0,55,0,4,21,11,11,30,56,8-G,11U-BK,-300,09383,0,3,15,0,1,3,14.9,16.7,12,3.9,,9383,14,20.2,5,"graftontickets.com.au BENCHMARK 66 HANDICAP 2370m, BM66 $27,000",0,13:15:00,Backmarker,0.111083333,3,Average
R2,GRAFTON,10,THE KING SLAYER,67,L P ROLLS,MS J PRATTEN,3,55,0,5.5,21,11,5,10,20,5-G,6U-M,-300,09966,0,0,5,0,0,0,15,16.4,0,3.4,,9966,21,99.72,,"graftontickets.com.au BENCHMARK 66 HANDICAP 2370m, BM66 $27,000",0,13:15:00,Off-Pace,0.666666667,1,Average
R3,GRAFTON,1,BARRON,41,NORIYUKI MASUDA,S PEPPER,2,59,5,2,19,4.4,0,33,21,5-G,4U-M,6,9x737,0,1,4,0,3,8,16.5,18.3,100,2.2,,9737,17,155.85,,"Westlawn Finance COUNTRY BOOSTED MAIDEN PLATE 1006m, MDN $30,000",0,13:50:00,Backmarker,0.133333333,4,Average
